DOMAIN,CLUSTER,TOKEN,R
COGNITION,1,monitoring,0.1506277633468343
COGNITION,1,working_memory,0.13286737860700504
COGNITION,1,cognitive_control,0.13173939762028924
COGNITION,1,cognitive_process,0.12603419053604475
COGNITION,1,reaction_time,0.12102444143506574
COGNITION,1,retrieval,0.11998597989165695
COGNITION,1,cognitive,0.11888591325966467
COGNITION,1,manipulation,0.11075818416680848
COGNITION,1,response_selection,0.10812848500331314
COGNITION,1,strategy,0.10769487281428908
COGNITION,1,decision_making,0.10759436388698393
COGNITION,1,word,0.10625182817530844
COGNITION,1,goal,0.10217927918939912
COGNITION,1,decision,0.10115014289794373
COGNITION,1,error_detection,0.09880372827148362
COGNITION,1,memory,0.09865358100845313
COGNITION,1,remembering,0.0980795028559694
COGNITION,1,cognition,0.09767767437950567
COGNITION,1,judgment,0.09726096927028892
COGNITION,1,rehearsal,0.09717951037978537
MANIPULATION,2,execution,0.18492961477814399
MANIPULATION,2,hand,0.1571221730773848
MANIPULATION,2,movement,0.1398055091674053
MANIPULATION,2,working_memory,0.13865688067216633
MANIPULATION,2,manipulation,0.13690863724851682
MANIPULATION,2,spatial_attention,0.13454166249861588
MANIPULATION,2,attention,0.13090511393130755
MANIPULATION,2,action,0.12707380088284725
MANIPULATION,2,grasping,0.12678891013805413
MANIPULATION,2,rehearsal,0.12385312715587468
MANIPULATION,2,representation,0.12104600115212967
MANIPULATION,2,grasp,0.11696295661604665
LANGUAGE,3,speech,0.25776085720048864
LANGUAGE,3,speech_perception,0.23296382580009095
LANGUAGE,3,speech_processing,0.2310266550537625
LANGUAGE,3,listening,0.2272661236455767
LANGUAGE,3,hearing,0.2257490624747325
LANGUAGE,3,language,0.21647919807151456
LANGUAGE,3,language_processing,0.202304197765566
LANGUAGE,3,syllable,0.17775747590720525
LANGUAGE,3,language_comprehension,0.16573302226425968
LANGUAGE,3,semantic_processing,0.1649399191373461
EXECUTION,4,motor_control,0.15519559601550262
EXECUTION,4,movement,0.13465315737689326
EXECUTION,4,motor_learning,0.12548581298062378
EXECUTION,4,execution,0.12030326231819262
EXECUTION,4,motor_sequence_learning,0.10017933851189724
EXECUTION,4,coordination,0.10001097241574113
VISION,5,face_perception,0.19966051188305306
VISION,5,face,0.16302877318220013
VISION,5,object_recognition,0.14437052351400104
VISION,5,recognition,0.14310419692816384
VISION,5,face_recognition,0.13704834434581992
VISION,5,vision,0.13186810368510132
VISION,5,visual_perception,0.12434354846314112
VISION,5,visual_object,0.12110804479819412
VISION,5,perception,0.12106157566801265
VISION,5,visual_angle,0.11910305494316935
VISION,5,shape,0.1148888422980606
VISION,5,familiarity,0.1126291022844186
VISION,5,visual_attention,0.1102346438768
VISION,5,picture,0.10981215827684193
VISION,5,object_perception,0.10174176480399198
VISION,5,eye,0.10111316935852346
VISION,5,covert,0.0982175921224249
VISION,5,spatial_attention,0.09610694935438956
VISION,5,face_discrimination,0.09545103599434886
AROUSAL,6,anticipation,0.11352181552773473
AROUSAL,6,arousal,0.11275015615204716
AROUSAL,6,pain,0.11125260229226724
AROUSAL,6,painful_stimulation,0.09740764837349716
AROUSAL,6,interoception,0.09583348791422322
AROUSAL,6,monitoring,0.09124636862116328
AROUSAL,6,heat,0.08636333880681428
MOVEMENT,7,chemical_sensation,0.07256648301743991
MOVEMENT,7,know_task,0.06633471783532302
MOVEMENT,7,motor_control,0.0563449798629583
MOVEMENT,7,vection,0.05214002287985429
MOVEMENT,7,articulatory_rehearsal,0.05155468988555748
MOVEMENT,7,drawing_paradigm,0.05037889247156229
MOVEMENT,7,isometric_force,0.05012561326732827
MOVEMENT,7,foot,0.04955133704047951
MOVEMENT,7,ataxia,0.0491302707893765
MOVEMENT,7,metacognitive_skill,0.04661594624893193
MOVEMENT,7,tapping_task,0.04596044105936165
MOVEMENT,7,coordination,0.045604225326622616
MOVEMENT,7,olfactory_sensation,0.045305447620882455
MOVEMENT,7,movement,0.044396589183437286
MOVEMENT,7,arm,0.04370417364843418
MOVEMENT,7,motor_learning,0.04213190001092077
MOVEMENT,7,bimanual_coordination_task,0.042101657059097235
MOVEMENT,7,cognitive_function,0.04128907410723048
REWARD,8,reward,0.26953599060380995
REWARD,8,reward_processing,0.215336201614851
REWARD,8,reward_anticipation,0.20080234679984016
