STRUCTURE,CLUSTER
left_thalamus,1
right_thalamus,1
left_angular_gyrus,2
left_lateral_occipital_cortex_superior_division,2
left_middle_frontal_gyrus,2
left_precuneous_cortex,2
left_superior_frontal_gyrus,2
left_superior_parietal_lobule,2
left_supramarginal_gyrus_posterior_division,2
right_angular_gyrus,2
right_cuneal_cortex,2
right_lateral_occipital_cortex_superior_division,2
right_precuneous_cortex,2
right_superior_parietal_lobule,2
left_heschls_gyrus,3
left_parietal_operculum_cortex,3
left_planum_polare,3
left_planum_temporale,3
left_superior_temporal_gyrus_posterior_division,3
right_middle_temporal_gyrus_posterior_division,3
right_inferior_temporal_gyrus_anterior_division,4
right_temporal_fusiform_cortex_anterior_division,4
left_cingulate_gyrus_anterior_division,5
left_postcentral_gyrus,5
left_precentral_gyrus,5
left_supplementary_motor_cortex,5
left_supramarginal_gyrus_anterior_division,5
right_cingulate_gyrus_anterior_division,5
right_inferior_frontal_gyrus_pars_opercularis,5
right_middle_frontal_gyrus,5
right_postcentral_gyrus,5
right_precentral_gyrus,5
right_superior_frontal_gyrus,5
right_supplementary_motor_cortex,5
right_supramarginal_gyrus_anterior_division,5
right_supramarginal_gyrus_posterior_division,5
left_middle_temporal_gyrus_anterior_division,6
left_middle_temporal_gyrus_posterior_division,6
left_superior_temporal_gyrus_anterior_division,6
right_middle_temporal_gyrus_anterior_division,6
left_cingulate_gyrus_posterior_division,7
left_cuneal_cortex,7
left_intracalcarine_cortex,7
left_lingual_gyrus,7
left_supracalcarine_cortex,7
right_cingulate_gyrus_posterior_division,7
right_intracalcarine_cortex,7
right_lingual_gyrus,7
right_supracalcarine_cortex,7
left_amygdala,8
right_amygdala,8
left_frontal_medial_cortex,9
left_subcallosal_cortex,9
left_frontal_orbital_cortex,10
left_insular_cortex,10
left_paracingulate_gyrus,10
left_temporal_pole,10
right_frontal_operculum_cortex,10
right_frontal_orbital_cortex,10
right_frontal_pole,10
right_inferior_frontal_gyrus_pars_triangularis,10
right_insular_cortex,10
right_paracingulate_gyrus,10
right_temporal_pole,10
left_cerebellar_crus,11
left_cerebellar_lobules,11
right_cerebellar_crus,11
right_cerebellar_lobules,11
right_cerebellar_vermis,11
left_pallidum,12
left_putamen,12
right_pallidum,12
right_putamen,12
left_inferior_temporal_gyrus_posterior_division,13
left_inferior_temporal_gyrus_temporooccipital_part,13
left_middle_temporal_gyrus_temporooccipital_part,13
left_temporal_fusiform_cortex_posterior_division,13
left_temporal_occipital_fusiform_cortex,13
right_heschls_gyrus,14
right_planum_polare,14
right_superior_temporal_gyrus_anterior_division,14
left_frontal_operculum_cortex,15
left_frontal_pole,15
left_inferior_frontal_gyrus_pars_opercularis,15
left_inferior_frontal_gyrus_pars_triangularis,15
right_inferior_temporal_gyrus_posterior_division,16
right_parahippocampal_gyrus_posterior_division,16
right_temporal_fusiform_cortex_posterior_division,16
left_cerebellar_vermis,17
left_hippocampus,18
left_parahippocampal_gyrus_anterior_division,18
left_parahippocampal_gyrus_posterior_division,18
right_hippocampus,18
right_parahippocampal_gyrus_anterior_division,18
left_accumbens,19
right_accumbens,19
right_frontal_medial_cortex,20
right_subcallosal_cortex,20
left_caudate,21
right_caudate,21
left_inferior_temporal_gyrus_anterior_division,22
left_temporal_fusiform_cortex_anterior_division,22
left_lateral_occipital_cortex_inferior_division,23
left_occipital_fusiform_gyrus,23
left_occipital_pole,23
right_inferior_temporal_gyrus_temporooccipital_part,23
right_lateral_occipital_cortex_inferior_division,23
right_middle_temporal_gyrus_temporooccipital_part,23
right_occipital_fusiform_gyrus,23
right_occipital_pole,23
right_temporal_occipital_fusiform_cortex,23
left_brainstem,24
right_brainstem,24
left_central_opercular_cortex,25
right_central_opercular_cortex,25
right_parietal_operculum_cortex,25
right_planum_temporale,25
right_superior_temporal_gyrus_posterior_division,25
