STRUCTURE,CLUSTER
left_middle_temporal_gyrus_anterior_division,1
left_middle_temporal_gyrus_posterior_division,1
left_planum_polare,1
left_superior_temporal_gyrus_anterior_division,1
left_superior_temporal_gyrus_posterior_division,1
left_temporal_pole,1
right_middle_temporal_gyrus_anterior_division,1
right_middle_temporal_gyrus_posterior_division,1
right_superior_temporal_gyrus_anterior_division,1
left_cingulate_gyrus_anterior_division,2
left_thalamus,2
right_cingulate_gyrus_anterior_division,2
right_cingulate_gyrus_posterior_division,2
right_frontal_pole,2
right_middle_frontal_gyrus,2
right_paracingulate_gyrus,2
right_superior_frontal_gyrus,2
right_supplementary_motor_cortex,2
right_thalamus,2
left_amygdala,3
right_amygdala,3
right_hippocampus,3
right_parahippocampal_gyrus_anterior_division,3
left_angular_gyrus,4
left_cuneal_cortex,4
left_intracalcarine_cortex,4
left_lateral_occipital_cortex_superior_division,4
left_postcentral_gyrus,4
left_precuneous_cortex,4
left_superior_parietal_lobule,4
left_supracalcarine_cortex,4
left_supramarginal_gyrus_anterior_division,4
left_supramarginal_gyrus_posterior_division,4
right_angular_gyrus,4
right_cuneal_cortex,4
right_intracalcarine_cortex,4
right_lateral_occipital_cortex_superior_division,4
right_precuneous_cortex,4
right_superior_parietal_lobule,4
right_supracalcarine_cortex,4
right_supramarginal_gyrus_posterior_division,4
left_cerebellar_crus,5
left_cerebellar_lobules,5
left_cerebellar_vermis,5
right_cerebellar_crus,5
right_cerebellar_lobules,5
right_cerebellar_vermis,5
left_frontal_medial_cortex,6
left_subcallosal_cortex,6
right_frontal_medial_cortex,6
right_subcallosal_cortex,6
left_cingulate_gyrus_posterior_division,7
left_frontal_operculum_cortex,7
left_frontal_orbital_cortex,7
left_frontal_pole,7
left_inferior_frontal_gyrus_pars_opercularis,7
left_inferior_frontal_gyrus_pars_triangularis,7
left_middle_frontal_gyrus,7
left_paracingulate_gyrus,7
left_precentral_gyrus,7
left_superior_frontal_gyrus,7
left_supplementary_motor_cortex,7
right_inferior_frontal_gyrus_pars_opercularis,7
right_inferior_frontal_gyrus_pars_triangularis,7
right_precentral_gyrus,7
left_central_opercular_cortex,8
left_heschls_gyrus,8
left_parietal_operculum_cortex,8
left_planum_temporale,8
right_central_opercular_cortex,8
right_heschls_gyrus,8
right_parietal_operculum_cortex,8
right_planum_polare,8
right_planum_temporale,8
right_postcentral_gyrus,8
right_superior_temporal_gyrus_posterior_division,8
right_supramarginal_gyrus_anterior_division,8
left_hippocampus,9
left_parahippocampal_gyrus_anterior_division,9
left_parahippocampal_gyrus_posterior_division,9
left_temporal_fusiform_cortex_posterior_division,9
right_inferior_temporal_gyrus_posterior_division,9
right_parahippocampal_gyrus_posterior_division,9
right_temporal_fusiform_cortex_posterior_division,9
left_accumbens,10
right_accumbens,10
left_inferior_temporal_gyrus_posterior_division,11
left_inferior_temporal_gyrus_temporooccipital_part,11
left_lateral_occipital_cortex_inferior_division,11
left_lingual_gyrus,11
left_middle_temporal_gyrus_temporooccipital_part,11
left_occipital_fusiform_gyrus,11
left_occipital_pole,11
left_temporal_occipital_fusiform_cortex,11
right_inferior_temporal_gyrus_temporooccipital_part,11
right_lateral_occipital_cortex_inferior_division,11
right_lingual_gyrus,11
right_middle_temporal_gyrus_temporooccipital_part,11
right_occipital_fusiform_gyrus,11
right_occipital_pole,11
right_temporal_occipital_fusiform_cortex,11
left_brainstem,12
left_caudate,12
left_insular_cortex,12
left_pallidum,12
left_putamen,12
right_brainstem,12
right_caudate,12
right_frontal_operculum_cortex,12
right_frontal_orbital_cortex,12
right_insular_cortex,12
right_pallidum,12
right_putamen,12
right_temporal_pole,12
left_inferior_temporal_gyrus_anterior_division,13
left_temporal_fusiform_cortex_anterior_division,13
right_inferior_temporal_gyrus_anterior_division,13
right_temporal_fusiform_cortex_anterior_division,13
