STRUCTURE,CLUSTER
left_central_opercular_cortex,1
left_heschls_gyrus,1
left_parietal_operculum_cortex,1
left_planum_temporale,1
right_central_opercular_cortex,1
right_heschls_gyrus,1
right_parietal_operculum_cortex,1
right_planum_polare,1
right_planum_temporale,1
left_cingulate_gyrus_anterior_division,2
left_frontal_medial_cortex,2
left_insular_cortex,2
left_paracingulate_gyrus,2
left_thalamus,2
right_brainstem,2
right_cingulate_gyrus_anterior_division,2
right_cingulate_gyrus_posterior_division,2
right_frontal_medial_cortex,2
right_frontal_operculum_cortex,2
right_frontal_orbital_cortex,2
right_frontal_pole,2
right_insular_cortex,2
right_paracingulate_gyrus,2
right_superior_frontal_gyrus,2
right_temporal_pole,2
right_thalamus,2
left_inferior_temporal_gyrus_anterior_division,3
left_inferior_temporal_gyrus_posterior_division,3
left_parahippocampal_gyrus_posterior_division,3
left_temporal_fusiform_cortex_anterior_division,3
right_inferior_temporal_gyrus_anterior_division,3
right_inferior_temporal_gyrus_posterior_division,3
right_parahippocampal_gyrus_posterior_division,3
right_temporal_fusiform_cortex_anterior_division,3
right_temporal_fusiform_cortex_posterior_division,3
left_cingulate_gyrus_posterior_division,4
left_cuneal_cortex,4
left_intracalcarine_cortex,4
left_lingual_gyrus,4
left_precuneous_cortex,4
left_supracalcarine_cortex,4
right_cuneal_cortex,4
right_intracalcarine_cortex,4
right_lingual_gyrus,4
right_precuneous_cortex,4
right_supracalcarine_cortex,4
left_middle_temporal_gyrus_anterior_division,5
left_middle_temporal_gyrus_posterior_division,5
left_planum_polare,5
left_superior_temporal_gyrus_anterior_division,5
left_superior_temporal_gyrus_posterior_division,5
left_temporal_pole,5
right_middle_temporal_gyrus_anterior_division,5
right_middle_temporal_gyrus_posterior_division,5
right_superior_temporal_gyrus_anterior_division,5
right_superior_temporal_gyrus_posterior_division,5
left_inferior_temporal_gyrus_temporooccipital_part,6
left_lateral_occipital_cortex_inferior_division,6
left_middle_temporal_gyrus_temporooccipital_part,6
left_occipital_fusiform_gyrus,6
left_occipital_pole,6
left_temporal_fusiform_cortex_posterior_division,6
left_temporal_occipital_fusiform_cortex,6
right_inferior_temporal_gyrus_temporooccipital_part,6
right_lateral_occipital_cortex_inferior_division,6
right_middle_temporal_gyrus_temporooccipital_part,6
right_occipital_fusiform_gyrus,6
right_occipital_pole,6
right_temporal_occipital_fusiform_cortex,6
left_cerebellar_crus,7
left_cerebellar_lobules,7
left_cerebellar_vermis,7
right_cerebellar_crus,7
right_cerebellar_lobules,7
right_cerebellar_vermis,7
left_frontal_operculum_cortex,8
left_frontal_orbital_cortex,8
left_frontal_pole,8
left_inferior_frontal_gyrus_pars_opercularis,8
left_inferior_frontal_gyrus_pars_triangularis,8
left_middle_frontal_gyrus,8
left_precentral_gyrus,8
left_superior_frontal_gyrus,8
right_inferior_frontal_gyrus_pars_opercularis,8
right_inferior_frontal_gyrus_pars_triangularis,8
left_accumbens,9
right_accumbens,9
right_subcallosal_cortex,9
left_brainstem,10
left_caudate,10
left_pallidum,10
left_putamen,10
left_subcallosal_cortex,10
right_caudate,10
right_pallidum,10
right_putamen,10
left_angular_gyrus,11
left_lateral_occipital_cortex_superior_division,11
left_postcentral_gyrus,11
left_superior_parietal_lobule,11
left_supplementary_motor_cortex,11
left_supramarginal_gyrus_anterior_division,11
left_supramarginal_gyrus_posterior_division,11
right_angular_gyrus,11
right_lateral_occipital_cortex_superior_division,11
right_middle_frontal_gyrus,11
right_postcentral_gyrus,11
right_precentral_gyrus,11
right_superior_parietal_lobule,11
right_supplementary_motor_cortex,11
right_supramarginal_gyrus_anterior_division,11
right_supramarginal_gyrus_posterior_division,11
left_amygdala,12
left_hippocampus,12
left_parahippocampal_gyrus_anterior_division,12
right_amygdala,12
right_hippocampus,12
right_parahippocampal_gyrus_anterior_division,12
