STRUCTURE,CLUSTER
left_caudate,1
right_caudate,1
left_cingulate_gyrus_posterior_division,2
left_cuneal_cortex,2
left_intracalcarine_cortex,2
left_precuneous_cortex,2
left_supracalcarine_cortex,2
right_cingulate_gyrus_posterior_division,2
right_cuneal_cortex,2
right_intracalcarine_cortex,2
right_precuneous_cortex,2
right_supracalcarine_cortex,2
left_angular_gyrus,3
left_inferior_frontal_gyrus_pars_opercularis,3
left_lateral_occipital_cortex_superior_division,3
left_middle_frontal_gyrus,3
left_postcentral_gyrus,3
left_precentral_gyrus,3
left_superior_frontal_gyrus,3
left_superior_parietal_lobule,3
left_supplementary_motor_cortex,3
left_supramarginal_gyrus_anterior_division,3
left_supramarginal_gyrus_posterior_division,3
right_angular_gyrus,3
right_inferior_frontal_gyrus_pars_opercularis,3
right_middle_frontal_gyrus,3
right_postcentral_gyrus,3
right_precentral_gyrus,3
right_superior_frontal_gyrus,3
right_superior_parietal_lobule,3
right_supplementary_motor_cortex,3
right_supramarginal_gyrus_anterior_division,3
right_supramarginal_gyrus_posterior_division,3
left_inferior_temporal_gyrus_posterior_division,4
left_middle_temporal_gyrus_anterior_division,4
left_middle_temporal_gyrus_posterior_division,4
left_middle_temporal_gyrus_temporooccipital_part,4
left_superior_temporal_gyrus_anterior_division,4
left_superior_temporal_gyrus_posterior_division,4
right_middle_temporal_gyrus_anterior_division,4
right_middle_temporal_gyrus_posterior_division,4
right_amygdala,5
right_hippocampus,5
right_parahippocampal_gyrus_anterior_division,5
left_parahippocampal_gyrus_posterior_division,6
right_inferior_temporal_gyrus_posterior_division,6
right_parahippocampal_gyrus_posterior_division,6
right_temporal_fusiform_cortex_anterior_division,6
right_temporal_fusiform_cortex_posterior_division,6
left_brainstem,7
left_frontal_operculum_cortex,7
left_frontal_orbital_cortex,7
left_frontal_pole,7
left_inferior_frontal_gyrus_pars_triangularis,7
left_insular_cortex,7
left_paracingulate_gyrus,7
left_temporal_pole,7
right_brainstem,7
right_frontal_operculum_cortex,7
right_frontal_orbital_cortex,7
right_frontal_pole,7
right_inferior_frontal_gyrus_pars_triangularis,7
right_temporal_pole,7
left_frontal_medial_cortex,8
left_subcallosal_cortex,8
right_frontal_medial_cortex,8
right_subcallosal_cortex,8
left_central_opercular_cortex,9
left_heschls_gyrus,9
left_parietal_operculum_cortex,9
left_planum_polare,9
left_planum_temporale,9
right_central_opercular_cortex,9
right_heschls_gyrus,9
right_parietal_operculum_cortex,9
right_planum_polare,9
right_planum_temporale,9
right_superior_temporal_gyrus_anterior_division,9
right_superior_temporal_gyrus_posterior_division,9
left_amygdala,10
left_hippocampus,10
left_parahippocampal_gyrus_anterior_division,10
left_lateral_occipital_cortex_inferior_division,11
left_occipital_pole,11
right_inferior_temporal_gyrus_temporooccipital_part,11
right_lateral_occipital_cortex_inferior_division,11
right_lateral_occipital_cortex_superior_division,11
right_lingual_gyrus,11
right_middle_temporal_gyrus_temporooccipital_part,11
right_occipital_fusiform_gyrus,11
right_occipital_pole,11
right_temporal_occipital_fusiform_cortex,11
left_inferior_temporal_gyrus_anterior_division,12
left_temporal_fusiform_cortex_anterior_division,12
right_inferior_temporal_gyrus_anterior_division,12
left_cerebellar_crus,13
left_cerebellar_lobules,13
left_cerebellar_vermis,13
right_cerebellar_crus,13
right_cerebellar_lobules,13
right_cerebellar_vermis,13
left_cingulate_gyrus_anterior_division,14
left_pallidum,14
left_putamen,14
left_thalamus,14
right_cingulate_gyrus_anterior_division,14
right_insular_cortex,14
right_pallidum,14
right_paracingulate_gyrus,14
right_putamen,14
right_thalamus,14
left_inferior_temporal_gyrus_temporooccipital_part,15
left_lingual_gyrus,15
left_occipital_fusiform_gyrus,15
left_temporal_fusiform_cortex_posterior_division,15
left_temporal_occipital_fusiform_cortex,15
left_accumbens,16
right_accumbens,16
