STRUCTURE,CLUSTER
left_cingulate_gyrus_anterior_division,1
left_cingulate_gyrus_posterior_division,1
left_frontal_operculum_cortex,1
left_frontal_orbital_cortex,1
left_frontal_pole,1
left_inferior_frontal_gyrus_pars_triangularis,1
left_insular_cortex,1
left_paracingulate_gyrus,1
left_superior_frontal_gyrus,1
right_cingulate_gyrus_anterior_division,1
right_cingulate_gyrus_posterior_division,1
right_frontal_operculum_cortex,1
right_frontal_orbital_cortex,1
right_frontal_pole,1
right_inferior_frontal_gyrus_pars_triangularis,1
right_insular_cortex,1
right_paracingulate_gyrus,1
right_superior_frontal_gyrus,1
left_central_opercular_cortex,2
left_heschls_gyrus,2
left_parietal_operculum_cortex,2
left_planum_polare,2
left_planum_temporale,2
left_superior_temporal_gyrus_posterior_division,2
right_central_opercular_cortex,2
right_heschls_gyrus,2
right_parietal_operculum_cortex,2
right_planum_polare,2
right_planum_temporale,2
right_superior_temporal_gyrus_posterior_division,2
left_accumbens,3
left_brainstem,3
left_caudate,3
left_frontal_medial_cortex,3
left_pallidum,3
left_putamen,3
left_subcallosal_cortex,3
right_accumbens,3
right_brainstem,3
right_caudate,3
right_frontal_medial_cortex,3
right_pallidum,3
right_putamen,3
right_subcallosal_cortex,3
left_parahippocampal_gyrus_posterior_division,4
left_temporal_fusiform_cortex_anterior_division,4
right_inferior_temporal_gyrus_anterior_division,4
right_inferior_temporal_gyrus_posterior_division,4
right_parahippocampal_gyrus_posterior_division,4
right_temporal_fusiform_cortex_anterior_division,4
right_temporal_fusiform_cortex_posterior_division,4
left_cuneal_cortex,5
left_inferior_temporal_gyrus_posterior_division,5
left_inferior_temporal_gyrus_temporooccipital_part,5
left_intracalcarine_cortex,5
left_lateral_occipital_cortex_inferior_division,5
left_lingual_gyrus,5
left_middle_temporal_gyrus_temporooccipital_part,5
left_occipital_fusiform_gyrus,5
left_occipital_pole,5
left_supracalcarine_cortex,5
left_temporal_fusiform_cortex_posterior_division,5
left_temporal_occipital_fusiform_cortex,5
right_cuneal_cortex,5
right_inferior_temporal_gyrus_temporooccipital_part,5
right_intracalcarine_cortex,5
right_lateral_occipital_cortex_inferior_division,5
right_lateral_occipital_cortex_superior_division,5
right_lingual_gyrus,5
right_middle_temporal_gyrus_temporooccipital_part,5
right_occipital_fusiform_gyrus,5
right_occipital_pole,5
right_supracalcarine_cortex,5
right_temporal_occipital_fusiform_cortex,5
left_amygdala,6
left_hippocampus,6
left_parahippocampal_gyrus_anterior_division,6
right_amygdala,6
right_hippocampus,6
right_parahippocampal_gyrus_anterior_division,6
left_angular_gyrus,7
left_cerebellar_crus,7
left_cerebellar_lobules,7
left_cerebellar_vermis,7
left_inferior_frontal_gyrus_pars_opercularis,7
left_lateral_occipital_cortex_superior_division,7
left_middle_frontal_gyrus,7
left_postcentral_gyrus,7
left_precentral_gyrus,7
left_precuneous_cortex,7
left_superior_parietal_lobule,7
left_supplementary_motor_cortex,7
left_supramarginal_gyrus_anterior_division,7
left_supramarginal_gyrus_posterior_division,7
left_thalamus,7
right_angular_gyrus,7
right_cerebellar_crus,7
right_cerebellar_lobules,7
right_cerebellar_vermis,7
right_inferior_frontal_gyrus_pars_opercularis,7
right_middle_frontal_gyrus,7
right_postcentral_gyrus,7
right_precentral_gyrus,7
right_precuneous_cortex,7
right_superior_parietal_lobule,7
right_supplementary_motor_cortex,7
right_supramarginal_gyrus_anterior_division,7
right_supramarginal_gyrus_posterior_division,7
right_thalamus,7
left_inferior_temporal_gyrus_anterior_division,8
left_middle_temporal_gyrus_anterior_division,8
left_middle_temporal_gyrus_posterior_division,8
left_superior_temporal_gyrus_anterior_division,8
left_temporal_pole,8
right_middle_temporal_gyrus_anterior_division,8
right_middle_temporal_gyrus_posterior_division,8
right_superior_temporal_gyrus_anterior_division,8
right_temporal_pole,8
