DOMAIN,CLUSTER,STRUCTURE
HEARING,1,left_central_opercular_cortex
HEARING,1,left_heschls_gyrus
HEARING,1,left_middle_temporal_gyrus_anterior_division
HEARING,1,left_middle_temporal_gyrus_posterior_division
HEARING,1,left_parietal_operculum_cortex
HEARING,1,left_planum_polare
HEARING,1,left_planum_temporale
HEARING,1,left_superior_temporal_gyrus_anterior_division
HEARING,1,left_superior_temporal_gyrus_posterior_division
HEARING,1,left_temporal_pole
HEARING,1,right_central_opercular_cortex
HEARING,1,right_heschls_gyrus
HEARING,1,right_middle_temporal_gyrus_anterior_division
HEARING,1,right_middle_temporal_gyrus_posterior_division
HEARING,1,right_parietal_operculum_cortex
HEARING,1,right_planum_polare
HEARING,1,right_planum_temporale
HEARING,1,right_superior_temporal_gyrus_anterior_division
HEARING,1,right_superior_temporal_gyrus_posterior_division
VISION,2,left_angular_gyrus
VISION,2,left_crus_i
VISION,2,left_cuneal_cortex
VISION,2,left_inferior_frontal_gyrus_pars_opercularis
VISION,2,left_inferior_temporal_gyrus_temporooccipital_part
VISION,2,left_intracalcarine_cortex
VISION,2,left_lateral_occipital_cortex_inferior_division
VISION,2,left_lateral_occipital_cortex_superior_division
VISION,2,left_lingual_gyrus
VISION,2,left_middle_frontal_gyrus
VISION,2,left_middle_temporal_gyrus_temporooccipital_part
VISION,2,left_occipital_fusiform_gyrus
VISION,2,left_occipital_pole
VISION,2,left_postcentral_gyrus
VISION,2,left_precentral_gyrus
VISION,2,left_precuneous_cortex
VISION,2,left_superior_frontal_gyrus
VISION,2,left_superior_parietal_lobule
VISION,2,left_supplementary_motor_cortex
VISION,2,left_supracalcarine_cortex
VISION,2,left_supramarginal_gyrus_anterior_division
VISION,2,left_supramarginal_gyrus_posterior_division
VISION,2,left_temporal_occipital_fusiform_cortex
VISION,2,left_v
VISION,2,left_vi
VISION,2,right_angular_gyrus
VISION,2,right_crus_i
VISION,2,right_cuneal_cortex
VISION,2,right_inferior_frontal_gyrus_pars_opercularis
VISION,2,right_inferior_temporal_gyrus_temporooccipital_part
VISION,2,right_intracalcarine_cortex
VISION,2,right_lateral_occipital_cortex_inferior_division
VISION,2,right_lateral_occipital_cortex_superior_division
VISION,2,right_lingual_gyrus
VISION,2,right_middle_frontal_gyrus
VISION,2,right_middle_temporal_gyrus_temporooccipital_part
VISION,2,right_occipital_fusiform_gyrus
VISION,2,right_occipital_pole
VISION,2,right_postcentral_gyrus
VISION,2,right_precentral_gyrus
VISION,2,right_precuneous_cortex
VISION,2,right_superior_parietal_lobule
VISION,2,right_supplementary_motor_cortex
VISION,2,right_supracalcarine_cortex
VISION,2,right_supramarginal_gyrus_anterior_division
VISION,2,right_supramarginal_gyrus_posterior_division
VISION,2,right_temporal_occipital_fusiform_cortex
VISION,2,right_v
VISION,2,right_vi
MOVEMENT,3,left_crus_ii
MOVEMENT,3,left_iiv
MOVEMENT,3,left_ix
MOVEMENT,3,left_vermis_crus_i
MOVEMENT,3,left_vermis_crus_ii
MOVEMENT,3,left_vermis_ix
MOVEMENT,3,left_vermis_vi
MOVEMENT,3,left_vermis_viib
MOVEMENT,3,left_vermis_viiia
MOVEMENT,3,left_vermis_viiib
MOVEMENT,3,left_vermis_x
MOVEMENT,3,left_viib
MOVEMENT,3,left_viiia
MOVEMENT,3,left_viiib
MOVEMENT,3,left_x
MOVEMENT,3,right_crus_ii
MOVEMENT,3,right_iiv
MOVEMENT,3,right_ix
MOVEMENT,3,right_vermis_crus_i
MOVEMENT,3,right_vermis_crus_ii
MOVEMENT,3,right_vermis_ix
MOVEMENT,3,right_vermis_vi
MOVEMENT,3,right_vermis_viib
MOVEMENT,3,right_vermis_viiia
MOVEMENT,3,right_vermis_viiib
MOVEMENT,3,right_vermis_x
MOVEMENT,3,right_viib
MOVEMENT,3,right_viiia
MOVEMENT,3,right_viiib
MOVEMENT,3,right_x
REWARD,4,left_accumbens
REWARD,4,left_frontal_medial_cortex
REWARD,4,left_subcallosal_cortex
REWARD,4,right_accumbens
REWARD,4,right_frontal_medial_cortex
REWARD,4,right_subcallosal_cortex
MEMORY,5,left_amygdala
MEMORY,5,left_brainstem
MEMORY,5,left_hippocampus
MEMORY,5,left_inferior_temporal_gyrus_anterior_division
MEMORY,5,left_inferior_temporal_gyrus_posterior_division
MEMORY,5,left_parahippocampal_gyrus_anterior_division
MEMORY,5,left_parahippocampal_gyrus_posterior_division
MEMORY,5,left_temporal_fusiform_cortex_anterior_division
MEMORY,5,left_temporal_fusiform_cortex_posterior_division
MEMORY,5,right_amygdala
MEMORY,5,right_brainstem
MEMORY,5,right_hippocampus
MEMORY,5,right_inferior_temporal_gyrus_anterior_division
MEMORY,5,right_inferior_temporal_gyrus_posterior_division
MEMORY,5,right_parahippocampal_gyrus_anterior_division
MEMORY,5,right_parahippocampal_gyrus_posterior_division
MEMORY,5,right_temporal_fusiform_cortex_anterior_division
MEMORY,5,right_temporal_fusiform_cortex_posterior_division
COGNITIVE,6,left_caudate
COGNITIVE,6,left_cingulate_gyrus_anterior_division
COGNITIVE,6,left_cingulate_gyrus_posterior_division
COGNITIVE,6,left_frontal_operculum_cortex
COGNITIVE,6,left_frontal_orbital_cortex
COGNITIVE,6,left_frontal_pole
COGNITIVE,6,left_inferior_frontal_gyrus_pars_triangularis
COGNITIVE,6,left_insular_cortex
COGNITIVE,6,left_pallidum
COGNITIVE,6,left_paracingulate_gyrus
COGNITIVE,6,left_putamen
COGNITIVE,6,left_thalamus
COGNITIVE,6,right_caudate
COGNITIVE,6,right_cingulate_gyrus_anterior_division
COGNITIVE,6,right_cingulate_gyrus_posterior_division
COGNITIVE,6,right_frontal_operculum_cortex
COGNITIVE,6,right_frontal_orbital_cortex
COGNITIVE,6,right_frontal_pole
COGNITIVE,6,right_inferior_frontal_gyrus_pars_triangularis
COGNITIVE,6,right_insular_cortex
COGNITIVE,6,right_pallidum
COGNITIVE,6,right_paracingulate_gyrus
COGNITIVE,6,right_putamen
COGNITIVE,6,right_superior_frontal_gyrus
COGNITIVE,6,right_temporal_pole
COGNITIVE,6,right_thalamus
