CLUSTER,TOKEN,R
1,motor_control,0.09261251601077918
1,ataxia,0.08893491847311066
1,motor_learning,0.07817357795552644
1,movement,0.07222122900351338
1,coordination,0.06985760023414118
1,vection,0.06594371936342971
1,foot,0.06589970641058472
1,rest,0.06489194220928465
1,articulatory_rehearsal,0.06311962334089848
1,capsaicinevoked_pain,0.06309933828449495
1,arm,0.06155585544950315
1,tone_monitordiscrimination,0.05772630206431292
1,recitationrepetition,0.05772630206431292
1,execution,0.05772335168470371
1,tapping_task,0.05721084633620164
1,leg,0.053624336200287684
1,vestibular,0.0520601851339255
1,autonomic_nervous_system_function,0.05174795481369498
1,motor_sequence_learning,0.05072951130132558
1,phonological_loop,0.048547581011757004
1,isometric_force,0.04779404374354504
1,episodic_future_thinking,0.047359511983491795
1,vestibular_stimulation,0.046129041159141834
1,motor_activity,0.04511649199484
1,skill_acquisition,0.0446371467460063
2,vision,0.13439072031124005
2,spatial_attention,0.126186477804755
2,retrieval,0.12430509094335357
2,visual_attention,0.12427225184179344
2,representation,0.11825575658495593
2,familiarity,0.1176198067167704
2,covert,0.11522713555173712
2,manipulation,0.11509110723257446
2,attention,0.11382547429009107
2,eye,0.11358407690878966
2,recognition,0.11231671704802848
2,memory,0.11215787004674954
2,visual_perception,0.1096713810960489
2,remembering,0.10885242736775125
2,visual_angle,0.1073530793514692
2,visual_imagery,0.10563019551811909
2,grasping,0.1040109856136011
2,object_recognition,0.10245050599594903
2,reaction_time,0.09803828224956551
2,goal,0.09788301034227109
2,encoding,0.0974586786467774
2,judgment,0.0967368208755788
2,memory_retrieval,0.09669585865706154
2,eye_movement,0.09553693018121537
2,visual_object,0.09432710098756475
3,monitoring,0.14284076689022218
3,working_memory,0.13330970355910754
3,cognitive_control,0.12744304370901371
3,reaction_time,0.12534740116866677
3,manipulation,0.11623319649246562
3,response_selection,0.11600672497144776
3,cognitive_process,0.11570653339808618
3,strategy,0.1129558849274036
3,rehearsal,0.10658533088063421
3,error_detection,0.10521758006423682
3,cognitive,0.10038330858422774
3,goal,0.10036584975774057
3,task_set,0.0983197335645194
3,context,0.09474670688237186
3,retrieval,0.0941380496208472
3,maintenance,0.09001893087850922
3,execution,0.0852739667895281
3,decision_making,0.08497715553852682
3,word,0.08134474438988676
3,covert,0.08129178807962542
3,decision,0.08101937355650424
3,executive_function,0.08032801714866442
3,memory,0.07968273091355121
3,arousal,0.07908667112766059
3,cognition,0.07865246901394037
4,speech,0.24905998012190028
4,hearing,0.23890185415456547
4,listening,0.233502212161118
4,speech_perception,0.2227765484452818
4,speech_processing,0.22033783814597518
4,tone,0.1749580250300983
4,language,0.1730764782790849
4,music,0.16609967556831218
4,syllable,0.16174239072677155
4,passive_listening,0.16071214105046522
4,language_processing,0.1580191955456942
4,speech_production,0.15566107628785686
4,melody,0.15395029438393487
4,auditory_perception,0.1524504709770138
4,prosody,0.14176191459966483
4,intonation,0.13498729090649858
4,audition,0.12828733640522394
4,pitch_discrimination,0.12506064311097836
4,language_comprehension,0.1237335274834145
4,articulation,0.11620870062102233
4,semantic_processing,0.11398474331187461
4,word,0.11355400594776464
4,phonetics,0.11192134430404543
4,syntax,0.11000792519791833
4,semantics,0.10786926021808221
5,motor_control,0.15285781070994547
5,movement,0.13269048483126336
5,motor_learning,0.125709874439952
5,execution,0.12035177393903959
5,coordination,0.10024515639559847
5,motor_sequence_learning,0.09785007406818189
5,arm,0.09206419277685264
5,hand,0.08403723967883828
5,tapping_task,0.0837017502849971
5,motor_planning,0.08254533764604498
5,ataxia,0.07880496938352544
5,rest,0.07526301972767102
5,motor_activity,0.07455007240055087
5,finger_tapping,0.07300002005792966
5,skill_acquisition,0.07218468164256436
5,imagination,0.07095303732574985
5,skill,0.07054974832740468
5,imagery,0.07025549289700873
5,planning,0.0693588912962591
5,foot,0.06863789569753692
5,rehearsal,0.06764478524328628
5,sequence_learning,0.06416030488352863
5,visual_imagery,0.06309462762210354
5,covert,0.06215457703457916
5,phonological_loop,0.06194405350169597
6,reward,0.2573791447573881
6,reward_processing,0.20399459147722826
6,reward_anticipation,0.19243332227063403
6,anticipation,0.18468106975310072
6,monetary_incentive_delay_task,0.15819739571296204
6,reward_learning,0.12406205369967747
6,expectancy,0.12060044747235567
6,instrumental_conditioning,0.119407086647148
6,feedback,0.11712692895034091
6,decision_making,0.11471790923359673
6,arousal,0.11180857539212391
6,reinforcement_learning,0.11101855519994247
6,valence,0.1033934180466686
6,salience,0.10252289757404637
6,loss_anticipation,0.10219621765958764
6,addiction,0.10199271197698861
6,taste,0.0987314079280642
6,loss,0.08921121744336369
6,gambling,0.08838476268065773
6,wanting,0.08770986793691576
6,impulsivity,0.08334386234359836
6,sexual_arousal,0.07882109042377372
6,anhedonia,0.07859851514417335
6,learning,0.07859739472348992
6,gambling_task,0.07508054745747088
7,memory,0.19900353986731323
7,episodic_memory,0.17462108238177626
7,declarative_memory,0.1729327776044224
7,recognition_memory,0.16234951733932063
7,remembering,0.15781265092995447
7,emotion,0.15773326557977307
7,fear,0.15327016779785751
7,recognition,0.14406646706798507
7,emotional_memory,0.14370308821747751
7,encoding,0.14086712549031652
7,retrieval,0.13705284277121074
7,valence,0.13510118121689618
7,facial_expression,0.13379308909312765
7,picture,0.13213319387229086
7,recall,0.1314456163637434
7,autobiographical_memory,0.12697871267482008
7,face,0.1261043857641128
7,memory_process,0.12483576939955798
7,source_memory,0.12262126553362732
7,encoding_task,0.12035497847213772
7,arousal,0.11983040121393734
7,episodic_simulation,0.11978544400050234
7,familiarity,0.1159403852021266
7,emotional_expression,0.11019157395559749
7,forgetting,0.11018962198147096
