STRUCTURE,CLUSTER
right_vermis_crus_i,1
right_vermis_crus_ii,1
left_brainstem,2
left_cingulate_gyrus_posterior_division,2
left_cuneal_cortex,2
left_intracalcarine_cortex,2
left_parahippocampal_gyrus_posterior_division,2
left_supracalcarine_cortex,2
left_temporal_fusiform_cortex_anterior_division,2
right_brainstem,2
right_cingulate_gyrus_posterior_division,2
right_cuneal_cortex,2
right_inferior_temporal_gyrus_anterior_division,2
right_inferior_temporal_gyrus_posterior_division,2
right_intracalcarine_cortex,2
right_lingual_gyrus,2
right_parahippocampal_gyrus_posterior_division,2
right_supracalcarine_cortex,2
right_temporal_fusiform_cortex_anterior_division,2
right_temporal_fusiform_cortex_posterior_division,2
left_central_opercular_cortex,3
left_heschls_gyrus,3
left_parietal_operculum_cortex,3
left_planum_polare,3
left_planum_temporale,3
right_central_opercular_cortex,3
right_heschls_gyrus,3
right_parietal_operculum_cortex,3
right_planum_polare,3
right_planum_temporale,3
left_ix,4
left_vermis_ix,4
left_vermis_viiib,4
left_viiib,4
left_x,4
right_ix,4
right_vermis_x,4
right_x,4
left_angular_gyrus,5
left_cingulate_gyrus_anterior_division,5
left_inferior_frontal_gyrus_pars_opercularis,5
left_lateral_occipital_cortex_superior_division,5
left_middle_frontal_gyrus,5
left_postcentral_gyrus,5
left_precentral_gyrus,5
left_precuneous_cortex,5
left_superior_frontal_gyrus,5
left_superior_parietal_lobule,5
left_supplementary_motor_cortex,5
left_supramarginal_gyrus_anterior_division,5
left_supramarginal_gyrus_posterior_division,5
left_thalamus,5
right_angular_gyrus,5
right_cingulate_gyrus_anterior_division,5
right_inferior_frontal_gyrus_pars_opercularis,5
right_lateral_occipital_cortex_superior_division,5
right_middle_frontal_gyrus,5
right_paracingulate_gyrus,5
right_postcentral_gyrus,5
right_precentral_gyrus,5
right_precuneous_cortex,5
right_superior_frontal_gyrus,5
right_superior_parietal_lobule,5
right_supplementary_motor_cortex,5
right_supramarginal_gyrus_anterior_division,5
right_supramarginal_gyrus_posterior_division,5
right_thalamus,5
left_inferior_temporal_gyrus_anterior_division,6
left_middle_temporal_gyrus_anterior_division,6
left_middle_temporal_gyrus_posterior_division,6
left_superior_temporal_gyrus_anterior_division,6
left_superior_temporal_gyrus_posterior_division,6
right_middle_temporal_gyrus_anterior_division,6
right_middle_temporal_gyrus_posterior_division,6
right_superior_temporal_gyrus_anterior_division,6
right_superior_temporal_gyrus_posterior_division,6
left_frontal_operculum_cortex,7
left_frontal_orbital_cortex,7
left_frontal_pole,7
left_inferior_frontal_gyrus_pars_triangularis,7
left_insular_cortex,7
left_paracingulate_gyrus,7
left_temporal_pole,7
right_frontal_operculum_cortex,7
right_frontal_orbital_cortex,7
right_frontal_pole,7
right_inferior_frontal_gyrus_pars_triangularis,7
right_insular_cortex,7
right_temporal_pole,7
left_amygdala,8
left_hippocampus,8
left_parahippocampal_gyrus_anterior_division,8
right_amygdala,8
right_hippocampus,8
right_parahippocampal_gyrus_anterior_division,8
right_vermis_ix,9
right_vermis_viib,9
right_vermis_viiia,9
right_vermis_viiib,9
left_inferior_temporal_gyrus_posterior_division,10
left_inferior_temporal_gyrus_temporooccipital_part,10
left_lateral_occipital_cortex_inferior_division,10
left_lingual_gyrus,10
left_middle_temporal_gyrus_temporooccipital_part,10
left_occipital_fusiform_gyrus,10
left_occipital_pole,10
left_temporal_fusiform_cortex_posterior_division,10
left_temporal_occipital_fusiform_cortex,10
right_inferior_temporal_gyrus_temporooccipital_part,10
right_lateral_occipital_cortex_inferior_division,10
right_middle_temporal_gyrus_temporooccipital_part,10
right_occipital_fusiform_gyrus,10
right_occipital_pole,10
right_temporal_occipital_fusiform_cortex,10
left_crus_i,11
left_crus_ii,11
left_iiv,11
left_v,11
left_vi,11
right_crus_i,11
right_crus_ii,11
right_iiv,11
right_v,11
right_vermis_vi,11
right_vi,11
left_caudate,12
left_pallidum,12
left_putamen,12
right_accumbens,12
right_caudate,12
right_pallidum,12
right_putamen,12
left_vermis_crus_i,13
left_vermis_crus_ii,13
left_vermis_vi,13
left_accumbens,14
left_frontal_medial_cortex,14
left_subcallosal_cortex,14
right_frontal_medial_cortex,14
right_subcallosal_cortex,14
left_vermis_viib,15
left_vermis_viiia,15
left_viib,16
left_viiia,16
right_viib,16
right_viiia,16
right_viiib,16
left_vermis_x,17
