STRUCTURE,CLUSTER
left_angular_gyrus,1
left_inferior_frontal_gyrus_pars_opercularis,1
left_inferior_frontal_gyrus_pars_triangularis,1
left_lateral_occipital_cortex_superior_division,1
left_middle_frontal_gyrus,1
left_postcentral_gyrus,1
left_precentral_gyrus,1
left_precuneous_cortex,1
left_superior_frontal_gyrus,1
left_superior_parietal_lobule,1
left_supplementary_motor_cortex,1
left_supramarginal_gyrus_anterior_division,1
left_supramarginal_gyrus_posterior_division,1
right_angular_gyrus,1
right_inferior_frontal_gyrus_pars_opercularis,1
right_lateral_occipital_cortex_superior_division,1
right_middle_frontal_gyrus,1
right_postcentral_gyrus,1
right_precentral_gyrus,1
right_precuneous_cortex,1
right_superior_frontal_gyrus,1
right_superior_parietal_lobule,1
right_supplementary_motor_cortex,1
right_supramarginal_gyrus_anterior_division,1
right_supramarginal_gyrus_posterior_division,1
right_vermis_x,1
left_hippocampus,2
left_parahippocampal_gyrus_posterior_division,2
left_temporal_fusiform_cortex_anterior_division,2
left_temporal_fusiform_cortex_posterior_division,2
right_inferior_temporal_gyrus_anterior_division,2
right_inferior_temporal_gyrus_posterior_division,2
right_parahippocampal_gyrus_posterior_division,2
right_temporal_fusiform_cortex_anterior_division,2
right_temporal_fusiform_cortex_posterior_division,2
left_crus_i,3
left_crus_ii,3
left_v,3
left_vermis_crus_i,3
left_vermis_crus_ii,3
left_vermis_vi,3
left_vi,3
left_viib,3
right_crus_i,3
right_crus_ii,3
right_v,3
right_vi,3
right_viib,3
right_vermis_ix,4
right_vermis_viib,4
right_vermis_viiia,4
right_vermis_viiib,4
left_cingulate_gyrus_anterior_division,5
left_cingulate_gyrus_posterior_division,5
left_frontal_medial_cortex,5
left_frontal_operculum_cortex,5
left_frontal_orbital_cortex,5
left_frontal_pole,5
left_insular_cortex,5
left_paracingulate_gyrus,5
left_thalamus,5
right_cingulate_gyrus_anterior_division,5
right_cingulate_gyrus_posterior_division,5
right_frontal_medial_cortex,5
right_frontal_operculum_cortex,5
right_frontal_orbital_cortex,5
right_frontal_pole,5
right_inferior_frontal_gyrus_pars_triangularis,5
right_insular_cortex,5
right_paracingulate_gyrus,5
right_thalamus,5
left_ix,6
left_viiia,6
left_viiib,6
left_x,6
right_ix,6
right_viiia,6
right_viiib,6
right_x,6
left_vermis_ix,7
left_vermis_viib,7
left_vermis_viiia,7
left_vermis_viiib,7
left_vermis_x,7
left_cuneal_cortex,8
left_inferior_temporal_gyrus_temporooccipital_part,8
left_intracalcarine_cortex,8
left_lateral_occipital_cortex_inferior_division,8
left_lingual_gyrus,8
left_middle_temporal_gyrus_temporooccipital_part,8
left_occipital_fusiform_gyrus,8
left_occipital_pole,8
left_supracalcarine_cortex,8
left_temporal_occipital_fusiform_cortex,8
right_cuneal_cortex,8
right_inferior_temporal_gyrus_temporooccipital_part,8
right_intracalcarine_cortex,8
right_lateral_occipital_cortex_inferior_division,8
right_lingual_gyrus,8
right_middle_temporal_gyrus_temporooccipital_part,8
right_occipital_fusiform_gyrus,8
right_occipital_pole,8
right_supracalcarine_cortex,8
right_temporal_occipital_fusiform_cortex,8
right_vermis_crus_i,9
right_vermis_crus_ii,9
right_vermis_vi,9
left_inferior_temporal_gyrus_anterior_division,10
left_inferior_temporal_gyrus_posterior_division,10
left_middle_temporal_gyrus_anterior_division,10
left_middle_temporal_gyrus_posterior_division,10
left_superior_temporal_gyrus_anterior_division,10
left_superior_temporal_gyrus_posterior_division,10
left_temporal_pole,10
right_middle_temporal_gyrus_anterior_division,10
right_middle_temporal_gyrus_posterior_division,10
right_superior_temporal_gyrus_anterior_division,10
right_temporal_pole,10
left_accumbens,11
left_caudate,11
left_pallidum,11
left_putamen,11
left_subcallosal_cortex,11
right_accumbens,11
right_caudate,11
right_pallidum,11
right_putamen,11
right_subcallosal_cortex,11
left_central_opercular_cortex,12
left_heschls_gyrus,12
left_parietal_operculum_cortex,12
left_planum_polare,12
left_planum_temporale,12
right_central_opercular_cortex,12
right_heschls_gyrus,12
right_parietal_operculum_cortex,12
right_planum_polare,12
right_planum_temporale,12
right_superior_temporal_gyrus_posterior_division,12
left_brainstem,13
left_iiv,13
right_brainstem,13
right_iiv,13
left_amygdala,14
left_parahippocampal_gyrus_anterior_division,14
right_amygdala,14
right_hippocampus,14
right_parahippocampal_gyrus_anterior_division,14
