STRUCTURE,CLUSTER
left_accumbens,1
left_amygdala,1
left_brainstem,1
left_caudate,1
left_frontal_medial_cortex,1
left_hippocampus,1
left_iiv,1
left_inferior_temporal_gyrus_anterior_division,1
left_pallidum,1
left_parahippocampal_gyrus_anterior_division,1
left_parahippocampal_gyrus_posterior_division,1
left_putamen,1
left_subcallosal_cortex,1
left_temporal_fusiform_cortex_anterior_division,1
right_accumbens,1
right_amygdala,1
right_brainstem,1
right_caudate,1
right_frontal_medial_cortex,1
right_hippocampus,1
right_iiv,1
right_inferior_temporal_gyrus_anterior_division,1
right_inferior_temporal_gyrus_posterior_division,1
right_pallidum,1
right_parahippocampal_gyrus_anterior_division,1
right_parahippocampal_gyrus_posterior_division,1
right_putamen,1
right_subcallosal_cortex,1
right_temporal_fusiform_cortex_anterior_division,1
right_temporal_fusiform_cortex_posterior_division,1
left_crus_ii,2
left_ix,2
left_vermis_crus_i,2
left_vermis_crus_ii,2
left_vermis_ix,2
left_vermis_vi,2
left_vermis_viib,2
left_vermis_viiia,2
left_vermis_viiib,2
left_vermis_x,2
left_viib,2
left_viiia,2
left_viiib,2
left_x,2
right_ix,2
right_vermis_crus_i,2
right_vermis_crus_ii,2
right_vermis_ix,2
right_vermis_vi,2
right_vermis_viib,2
right_vermis_viiia,2
right_vermis_viiib,2
right_vermis_x,2
right_viib,2
right_viiia,2
right_viiib,2
right_x,2
left_cingulate_gyrus_anterior_division,3
left_frontal_operculum_cortex,3
left_frontal_orbital_cortex,3
left_frontal_pole,3
left_inferior_frontal_gyrus_pars_opercularis,3
left_inferior_frontal_gyrus_pars_triangularis,3
left_insular_cortex,3
left_middle_frontal_gyrus,3
left_paracingulate_gyrus,3
left_precentral_gyrus,3
left_superior_frontal_gyrus,3
left_supplementary_motor_cortex,3
left_thalamus,3
right_cingulate_gyrus_anterior_division,3
right_cingulate_gyrus_posterior_division,3
right_frontal_operculum_cortex,3
right_frontal_orbital_cortex,3
right_frontal_pole,3
right_inferior_frontal_gyrus_pars_opercularis,3
right_inferior_frontal_gyrus_pars_triangularis,3
right_insular_cortex,3
right_middle_frontal_gyrus,3
right_paracingulate_gyrus,3
right_precentral_gyrus,3
right_superior_frontal_gyrus,3
right_supplementary_motor_cortex,3
right_thalamus,3
left_angular_gyrus,4
left_cingulate_gyrus_posterior_division,4
left_crus_i,4
left_cuneal_cortex,4
left_inferior_temporal_gyrus_posterior_division,4
left_inferior_temporal_gyrus_temporooccipital_part,4
left_intracalcarine_cortex,4
left_lateral_occipital_cortex_inferior_division,4
left_lateral_occipital_cortex_superior_division,4
left_lingual_gyrus,4
left_middle_temporal_gyrus_temporooccipital_part,4
left_occipital_fusiform_gyrus,4
left_occipital_pole,4
left_postcentral_gyrus,4
left_precuneous_cortex,4
left_superior_parietal_lobule,4
left_supracalcarine_cortex,4
left_supramarginal_gyrus_anterior_division,4
left_supramarginal_gyrus_posterior_division,4
left_temporal_fusiform_cortex_posterior_division,4
left_temporal_occipital_fusiform_cortex,4
left_v,4
left_vi,4
right_angular_gyrus,4
right_crus_i,4
right_crus_ii,4
right_cuneal_cortex,4
right_inferior_temporal_gyrus_temporooccipital_part,4
right_intracalcarine_cortex,4
right_lateral_occipital_cortex_inferior_division,4
right_lateral_occipital_cortex_superior_division,4
right_lingual_gyrus,4
right_middle_temporal_gyrus_temporooccipital_part,4
right_occipital_fusiform_gyrus,4
right_occipital_pole,4
right_postcentral_gyrus,4
right_precuneous_cortex,4
right_superior_parietal_lobule,4
right_supracalcarine_cortex,4
right_supramarginal_gyrus_anterior_division,4
right_supramarginal_gyrus_posterior_division,4
right_temporal_occipital_fusiform_cortex,4
right_v,4
right_vi,4
left_central_opercular_cortex,5
left_heschls_gyrus,5
left_middle_temporal_gyrus_anterior_division,5
left_middle_temporal_gyrus_posterior_division,5
left_parietal_operculum_cortex,5
left_planum_polare,5
left_planum_temporale,5
left_superior_temporal_gyrus_anterior_division,5
left_superior_temporal_gyrus_posterior_division,5
left_temporal_pole,5
right_central_opercular_cortex,5
right_heschls_gyrus,5
right_middle_temporal_gyrus_anterior_division,5
right_middle_temporal_gyrus_posterior_division,5
right_parietal_operculum_cortex,5
right_planum_polare,5
right_planum_temporale,5
right_superior_temporal_gyrus_anterior_division,5
right_superior_temporal_gyrus_posterior_division,5
right_temporal_pole,5
