STRUCTURE,CLUSTER
left_cuneal_cortex,1
left_inferior_temporal_gyrus_temporooccipital_part,1
left_intracalcarine_cortex,1
left_lateral_occipital_cortex_inferior_division,1
left_lingual_gyrus,1
left_middle_temporal_gyrus_temporooccipital_part,1
left_occipital_fusiform_gyrus,1
left_occipital_pole,1
left_supracalcarine_cortex,1
left_temporal_occipital_fusiform_cortex,1
right_inferior_temporal_gyrus_temporooccipital_part,1
right_lateral_occipital_cortex_inferior_division,1
right_lingual_gyrus,1
right_occipital_fusiform_gyrus,1
right_occipital_pole,1
right_temporal_occipital_fusiform_cortex,1
left_cingulate_gyrus_anterior_division,2
left_cingulate_gyrus_posterior_division,2
left_frontal_medial_cortex,2
left_frontal_operculum_cortex,2
left_frontal_orbital_cortex,2
left_frontal_pole,2
left_insular_cortex,2
left_paracingulate_gyrus,2
left_thalamus,2
right_brainstem,2
right_cingulate_gyrus_anterior_division,2
right_cingulate_gyrus_posterior_division,2
right_frontal_medial_cortex,2
right_frontal_operculum_cortex,2
right_frontal_orbital_cortex,2
right_frontal_pole,2
right_inferior_frontal_gyrus_pars_triangularis,2
right_insular_cortex,2
right_paracingulate_gyrus,2
right_superior_frontal_gyrus,2
right_thalamus,2
left_central_opercular_cortex,3
left_crus_i,3
left_iiv,3
left_parietal_operculum_cortex,3
left_supplementary_motor_cortex,3
left_v,3
left_vi,3
right_central_opercular_cortex,3
right_crus_i,3
right_crus_ii,3
right_iiv,3
right_parietal_operculum_cortex,3
right_planum_temporale,3
right_postcentral_gyrus,3
right_supplementary_motor_cortex,3
right_supramarginal_gyrus_anterior_division,3
right_v,3
right_vi,3
left_heschls_gyrus,4
left_middle_temporal_gyrus_anterior_division,4
left_middle_temporal_gyrus_posterior_division,4
left_planum_polare,4
left_planum_temporale,4
left_superior_temporal_gyrus_anterior_division,4
left_superior_temporal_gyrus_posterior_division,4
left_temporal_pole,4
right_heschls_gyrus,4
right_middle_temporal_gyrus_anterior_division,4
right_middle_temporal_gyrus_posterior_division,4
right_planum_polare,4
right_superior_temporal_gyrus_anterior_division,4
right_superior_temporal_gyrus_posterior_division,4
right_temporal_pole,4
left_accumbens,5
left_subcallosal_cortex,5
right_accumbens,5
left_ix,6
left_viiib,6
left_x,6
right_ix,6
right_viiib,6
right_x,6
left_inferior_temporal_gyrus_anterior_division,7
left_inferior_temporal_gyrus_posterior_division,7
left_parahippocampal_gyrus_posterior_division,7
left_temporal_fusiform_cortex_anterior_division,7
left_temporal_fusiform_cortex_posterior_division,7
right_inferior_temporal_gyrus_anterior_division,7
right_inferior_temporal_gyrus_posterior_division,7
right_parahippocampal_gyrus_posterior_division,7
right_temporal_fusiform_cortex_anterior_division,7
right_temporal_fusiform_cortex_posterior_division,7
right_cuneal_cortex,8
right_intracalcarine_cortex,8
right_precuneous_cortex,8
right_supracalcarine_cortex,8
right_vermis_ix,9
right_vermis_viiib,9
right_vermis_x,9
left_amygdala,10
left_hippocampus,10
left_parahippocampal_gyrus_anterior_division,10
right_amygdala,10
right_hippocampus,10
right_parahippocampal_gyrus_anterior_division,10
right_vermis_viib,11
right_vermis_viiia,11
left_vermis_crus_i,12
left_vermis_crus_ii,12
left_vermis_vi,12
left_brainstem,13
left_caudate,13
left_pallidum,13
left_putamen,13
right_caudate,13
right_pallidum,13
right_putamen,13
right_subcallosal_cortex,13
right_vermis_crus_i,14
right_vermis_crus_ii,14
right_vermis_vi,14
left_crus_ii,15
left_viib,15
left_viiia,15
right_viib,15
right_viiia,15
left_angular_gyrus,16
left_inferior_frontal_gyrus_pars_opercularis,16
left_inferior_frontal_gyrus_pars_triangularis,16
left_lateral_occipital_cortex_superior_division,16
left_middle_frontal_gyrus,16
left_postcentral_gyrus,16
left_precentral_gyrus,16
left_precuneous_cortex,16
left_superior_frontal_gyrus,16
left_superior_parietal_lobule,16
left_supramarginal_gyrus_anterior_division,16
left_supramarginal_gyrus_posterior_division,16
right_angular_gyrus,16
right_inferior_frontal_gyrus_pars_opercularis,16
right_lateral_occipital_cortex_superior_division,16
right_middle_frontal_gyrus,16
right_middle_temporal_gyrus_temporooccipital_part,16
right_precentral_gyrus,16
right_superior_parietal_lobule,16
right_supramarginal_gyrus_posterior_division,16
left_vermis_ix,17
left_vermis_viiib,17
left_vermis_x,17
left_vermis_viib,18
left_vermis_viiia,18
