STRUCTURE,CLUSTER
left_angular_gyrus,1
left_lateral_occipital_cortex_superior_division,1
left_postcentral_gyrus,1
left_precentral_gyrus,1
left_superior_parietal_lobule,1
left_supramarginal_gyrus_anterior_division,1
left_supramarginal_gyrus_posterior_division,1
right_angular_gyrus,1
right_lateral_occipital_cortex_superior_division,1
right_postcentral_gyrus,1
right_superior_parietal_lobule,1
right_supramarginal_gyrus_anterior_division,1
right_supramarginal_gyrus_posterior_division,1
left_frontal_operculum_cortex,2
left_frontal_orbital_cortex,2
left_frontal_pole,2
left_inferior_frontal_gyrus_pars_opercularis,2
left_inferior_frontal_gyrus_pars_triangularis,2
left_middle_frontal_gyrus,2
left_paracingulate_gyrus,2
left_superior_frontal_gyrus,2
right_frontal_pole,2
right_inferior_frontal_gyrus_pars_triangularis,2
left_ix,3
left_viib,3
left_viiia,3
left_viiib,3
left_x,3
right_x,3
left_central_opercular_cortex,4
left_heschls_gyrus,4
left_parietal_operculum_cortex,4
left_planum_polare,4
left_planum_temporale,4
right_central_opercular_cortex,4
right_heschls_gyrus,4
right_parietal_operculum_cortex,4
right_planum_polare,4
right_planum_temporale,4
left_lateral_occipital_cortex_inferior_division,5
left_occipital_fusiform_gyrus,5
left_occipital_pole,5
right_lateral_occipital_cortex_inferior_division,5
right_occipital_fusiform_gyrus,5
right_occipital_pole,5
right_inferior_temporal_gyrus_posterior_division,6
right_parahippocampal_gyrus_posterior_division,6
right_temporal_fusiform_cortex_posterior_division,6
right_vermis_ix,7
right_vermis_viiia,7
right_vermis_viiib,7
right_vermis_x,7
left_middle_temporal_gyrus_anterior_division,8
left_middle_temporal_gyrus_posterior_division,8
left_superior_temporal_gyrus_anterior_division,8
left_superior_temporal_gyrus_posterior_division,8
left_temporal_pole,8
right_middle_temporal_gyrus_anterior_division,8
right_middle_temporal_gyrus_posterior_division,8
right_superior_temporal_gyrus_anterior_division,8
right_superior_temporal_gyrus_posterior_division,8
left_vermis_ix,9
left_vermis_viiib,9
left_crus_i,10
left_crus_ii,10
left_v,10
left_vi,10
right_crus_i,10
right_crus_ii,10
right_vi,10
left_accumbens,11
right_accumbens,11
right_vermis_crus_i,12
right_vermis_crus_ii,12
right_vermis_vi,12
right_vermis_viib,12
left_cingulate_gyrus_anterior_division,13
left_supplementary_motor_cortex,13
left_thalamus,13
right_cingulate_gyrus_anterior_division,13
right_inferior_frontal_gyrus_pars_opercularis,13
right_middle_frontal_gyrus,13
right_paracingulate_gyrus,13
right_precentral_gyrus,13
right_superior_frontal_gyrus,13
right_supplementary_motor_cortex,13
left_inferior_temporal_gyrus_posterior_division,14
left_inferior_temporal_gyrus_temporooccipital_part,14
left_lingual_gyrus,14
left_middle_temporal_gyrus_temporooccipital_part,14
left_temporal_fusiform_cortex_posterior_division,14
left_temporal_occipital_fusiform_cortex,14
right_inferior_temporal_gyrus_temporooccipital_part,14
right_middle_temporal_gyrus_temporooccipital_part,14
right_temporal_occipital_fusiform_cortex,14
left_caudate,15
left_insular_cortex,15
left_pallidum,15
left_putamen,15
right_caudate,15
right_frontal_operculum_cortex,15
right_frontal_orbital_cortex,15
right_insular_cortex,15
right_pallidum,15
right_putamen,15
right_temporal_pole,15
right_thalamus,15
right_ix,16
right_viib,16
right_viiia,16
right_viiib,16
left_iiv,17
right_iiv,17
right_v,17
left_frontal_medial_cortex,18
left_subcallosal_cortex,18
right_frontal_medial_cortex,18
right_subcallosal_cortex,18
left_vermis_viib,19
left_vermis_viiia,19
left_vermis_crus_i,20
left_vermis_crus_ii,20
left_vermis_vi,20
left_brainstem,21
right_brainstem,21
left_vermis_x,22
left_amygdala,23
left_hippocampus,23
left_parahippocampal_gyrus_anterior_division,23
left_parahippocampal_gyrus_posterior_division,23
right_amygdala,23
right_hippocampus,23
right_parahippocampal_gyrus_anterior_division,23
left_cingulate_gyrus_posterior_division,24
left_cuneal_cortex,24
left_intracalcarine_cortex,24
left_precuneous_cortex,24
left_supracalcarine_cortex,24
right_cingulate_gyrus_posterior_division,24
right_cuneal_cortex,24
right_intracalcarine_cortex,24
right_lingual_gyrus,24
right_precuneous_cortex,24
right_supracalcarine_cortex,24
left_inferior_temporal_gyrus_anterior_division,25
left_temporal_fusiform_cortex_anterior_division,25
right_inferior_temporal_gyrus_anterior_division,25
right_temporal_fusiform_cortex_anterior_division,25
